 ID X Y Z
133 A133 -5196.00 2000.00 1146.97
134 A134 -3464.00 2000.00 1121.51
135 A135 -1732.00 2000.00 1096.04
136 A136 0.00 2000.00 1063.80
137 A137 1732.00 2000.00 1046.64
138 A138 3464.00 2000.00 1025.96
139 A139 5196.00 2000.00 1012.79
140 A140 6928.00 2000.00 994.60
141 A141 8660.00 2000.00 994.00
142 A142 -7794.00 2500.00 1185.27
143 A143 -6062.00 2500.00 1161.52
144 A144 -4330.00 2500.00 1130.64
145 A145 -2598.00 2500.00 1105.46
146 A146 -866.00 2500.00 1071.75
147 A147 866.00 2500.00 1055.06
148 A148 2598.00 2500.00 1039.26
149 A149 4330.00 2500.00 1022.08
150 A150 6062.00 2500.00 998.46
151 A151 7794.00 2500.00 1004.69
152 A152 -7794.00 3500.00 1180.85
153 A153 -6062.00 3500.00 1148.54
154 A154 -4330.00 3500.00 1131.95
155 A155 -2598.00 3500.00 1095.59
156 A156 -866.00 3500.00 1069.77
157 A157 866.00 3500.00 1057.95
158 A158 2598.00 3500.00 1041.27
159 A159 4330.00 3500.00 1038.68
160 A160 6062.00 3500.00 1025.69
161 A161 7794.00 3500.00 1004.62
162 A162 -6928.00 4000.00 1169.47
163 A163 -5196.00 4000.00 1146.57
164 A164 -3464.00 4000.00 1118.33
165 A165 -1732.00 4000.00 1049.53
166 A166 0.00 4000.00 1041.35
167 A167 1732.00 4000.00 1042.26
168 A168 3464.00 4000.00 1037.24
169 A169 5196.00 4000.00 1024.73
170 A170 6928.00 4000.00 1021.07
171 A171 -6928.00 5000.00 1159.15
172 A172 -5196.00 5000.00 1134.70
173 A173 -3464.00 5000.00 1106.23
174 A174 -1732.00 5000.00 1077.00
175 A175 0.00 5000.00 1057.15
176 A176 1732.00 5000.00 1035.72
177 A177 3464.00 5000.00 1039.85
178 A178 5196.00 5000.00 1037.72
179 A179 6928.00 5000.00 1003.48
180 A180 -6062.00 5500.00 1144.21
181 A181 -4330.00 5500.00 1115.47
182 A182 -2598.00 5500.00 1076.78
183 A183 -866.00 5500.00 1067.92
184 A184 866.00 5500.00 1053.00
185 A185 2598.00 5500.00 1053.08
186 A186 4330.00 5500.00 1049.70
187 A187 6062.00 5500.00 1017.66
188 A188 -6062.00 6500.00 1123.78
189 A189 -4330.00 6500.00 1116.10
190 A190 -2598.00 6500.00 1094.62
191 A191 -866.00 6500.00 1083.04
192 A192 866.00 6500.00 1069.98
193 A193 2598.00 6500.00 1066.75
194 A194 4330.00 6500.00 1047.35
195 A195 6062.00 6500.00 1031.35
196 A196 -5196.00 7000.00 1121.15
197 A197 -3464.00 7000.00 1107.77
198 A198 -1732.00 7000.00 1094.49
199 A199 0.00 7000.00 1078.11
200 A200 1732.00 7000.00 1075.20
201 A201 3464.00 7000.00 1057.66
202 A202 5196.00 7000.00 1043.60
203 A203 -5196.00 8000.00 1136.57
204 A204 -3464.00 8000.00 1122.98
205 A205 -1732.00 8000.00 1097.35
206 A206 0.00 8000.00 1090.30
207 A207 1732.00 8000.00 1076.43
208 A208 3464.00 8000.00 1055.26
209 A209 5196.00 8000.00 1007.03
210 A210 -4330.00 8500.00 1130.00
211 A211 -2598.00 8500.00 1106.69
212 A212 -866.00 8500.00 1098.23
213 A213 866.00 8500.00 1088.00
214 A214 2598.00 8500.00 1067.03
215 A215 4330.00 8500.00 1048.72
216 A216 -1299.00 -2750.00 1093.05
217 A217 -433.00 -2750.00 1083.23
218 A218 433.00 -2750.00 1079.94
219 A219 1299.00 -2750.00 1063.76
220 A220 -1732.00 -2500.00 1101.94
221 A221 0.00 -2500.00 1086.02
222 A222 1732.00 -2500.00 1065.53
223 A223 -866.00 -2000.00 1097.65
224 A224 866.00 -2000.00 1081.96
225 A225 -2165.00 -1750.00 1113.21
226 A226 -1299.00 -1750.00 1107.12
227 A227 -433.00 -1750.00 1095.00
228 A228 433.00 -1750.00 1088.23
229 A229 1299.00 -1750.00 1079.14
230 A230 2165.00 -1750.00 1063.82
231 A231 -2165.00 -1250.00 1117.06
232 A232 -1299.00 -1250.00 1107.51
233 A233 -433.00 -1250.00 1098.30
234 A234 433.00 -1250.00 1085.66
235 A235 1299.00 -1250.00 1074.00
236 A236 2165.00 -1250.00 1062.70
237 A237 -2598.00 -1000.00 1124.81
238 A238 -866.00 -1000.00 1103.15
239 A239 866.00 -1000.00 1077.14
240 A240 2598.00 -1000.00 1050.83
241 A241 -1732.00 -500.00 1116.42
242 A242 0.00 -500.00 1082.93
243 A243 1732.00 -500.00 1058.00
244 A244 -3031.00 -250.00 1132.60
245 A245 -2165.00 -250.00 1112.00
246 A246 -1299.00 -250.00 1107.41
247 A247 -433.00 -250.00 1089.57
248 A248 433.00 -250.00 1078.92
249 A249 1299.00 -250.00 1065.03
250 A250 2165.00 -250.00 1065.55
251 A251 3031.00 -250.00 1040.54
252 A252 -3031.00 250.00 1126.92
253 A253 -2165.00 250.00 1116.65
254 A254 -1299.00 250.00 1105.48
255 A255 -433.00 250.00 1095.07
256 A256 433.00 250.00 1086.89
257 A257 1299.00 250.00 1063.95
258 A258 2165.00 250.00 1051.10
259 A259 3031.00 250.00 1039.00
260 A260 -1732.00 500.00 1108.06
261 A261 0.00 500.00 1085.00
262 A262 1732.00 500.00 1051.00
263 A263 -2598.00 1000.00 1124.89
264 A264 -866.00 1000.00 1097.77
265 A265 866.00 1000.00 1069.76
266 A266 2598.00 1000.00 1045.57
267 A267 -2165.00 1250.00 1118.21
268 A268 -1299.00 1250.00 1100.57
269 A269 -433.00 1250.00 1085.01
270 A270 433.00 1250.00 1069.93
271 A271 1299.00 1250.00 1049.91
272 A272 2165.00 1250.00 1045.76
273 A273 -2165.00 1750.00 1107.79
274 A274 -1299.00 1750.00 1095.13
275 A275 -433.00 1750.00 1073.57
276 A276 433.00 1750.00 1065.03
277 A277 1299.00 1750.00 1053.94
278 A278 2165.00 1750.00 1042.75
279 A279 -866.00 2000.00 1079.72
280 A280 866.00 2000.00 1059.79
281 A281 -1732.00 2500.00 1087.51
282 A282 0.00 2500.00 1060.62
283 A283 1732.00 2500.00 1051.77
284 A284 -1299.00 2750.00 1088.52
285 A285 -433.00 2750.00 1076.85
286 A286 433.00 2750.00 1069.02
287 A287 1299.00 2750.00 1068.81
